case_id	snapshot_id	catalog_id	catalog_revision	authority_id	authority_revision	expect	match_count
unique_a	unique	catalog.scope	r1	authority.a	r1	one_match_in_snapshot	1
unique_b	unique	catalog.scope	r1	authority.b	r2	one_match_in_snapshot	1
no_id_match	unique	catalog.scope	r1	authority.missing	r1	no_match_in_snapshot	0
no_revision_match	unique	catalog.scope	r1	authority.a	r9	no_match_in_snapshot	0
empty_snapshot	empty	empty.scope	r1	authority.a	r1	no_match_in_snapshot	0
duplicate_target	duplicates	duplicate.scope	r1	authority.a	r1	multiple_matches_in_snapshot	2
unique_beside_duplicate	duplicates	duplicate.scope	r1	authority.b	r1	one_match_in_snapshot	1
triple_target	triple	triple.scope	r1	authority.a	r1	multiple_matches_in_snapshot	3
forward_order	order_forward	order.scope	r1	authority.b	r1	one_match_in_snapshot	1
reverse_order	order_reverse	order.scope	r1	authority.b	r1	one_match_in_snapshot	1
shared_scope_one	scope_one	scope.one	r1	authority.shared	r1	one_match_in_snapshot	1
shared_scope_two	scope_two	scope.two	r1	authority.shared	r1	one_match_in_snapshot	1
revision_one	revisions	revision.scope	r1	authority.same	r1	one_match_in_snapshot	1
revision_two	revisions	revision.scope	r1	authority.same	r2	one_match_in_snapshot	1
revision_missing	revisions	revision.scope	r1	authority.same	r3	no_match_in_snapshot	0
query_catalog_mismatch	unique	other.scope	r1	authority.a	r1	match_scope_mismatch	not_applicable
query_revision_mismatch	unique	catalog.scope	r9	authority.a	r1	match_scope_mismatch	not_applicable
