snapshot_id	catalog_id	catalog_revision	authority_id	authority_revision
unique	catalog.scope	r1	authority.a	r1
unique	catalog.scope	r1	authority.b	r2
duplicates	duplicate.scope	r1	authority.a	r1
duplicates	duplicate.scope	r1	authority.a	r1
duplicates	duplicate.scope	r1	authority.b	r1
triple	triple.scope	r1	authority.a	r1
triple	triple.scope	r1	authority.a	r1
triple	triple.scope	r1	authority.a	r1
order_forward	order.scope	r1	authority.a	r1
order_forward	order.scope	r1	authority.b	r1
order_forward	order.scope	r1	authority.c	r1
order_reverse	order.scope	r1	authority.c	r1
order_reverse	order.scope	r1	authority.b	r1
order_reverse	order.scope	r1	authority.a	r1
scope_one	scope.one	r1	authority.shared	r1
scope_two	scope.two	r1	authority.shared	r1
revisions	revision.scope	r1	authority.same	r1
revisions	revision.scope	r1	authority.same	r2
record_scope_mismatch	other.scope	r1	authority.a	r1
invalid_record	invalid.scope	r1	Authority	r1
