case_id	snapshot_id	catalog_id	catalog_revision	authority_id	authority_revision	expect	match_count	snapshot_count	positive_witness
invalid_retained_match	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	invalid_authority_match	not_applicable	not_applicable	not_applicable
unique_a	unique	catalog.scope	r1	authority.a	r1	resolved_one_match_in_snapshot	1	2	true
unique_b	unique	catalog.scope	r1	authority.b	r2	resolved_one_match_in_snapshot	1	2	true
no_id_match	unique	catalog.scope	r1	authority.missing	r1	not_resolved_no_match_in_snapshot	0	2	false
no_revision_match	unique	catalog.scope	r1	authority.a	r9	not_resolved_no_match_in_snapshot	0	2	false
empty_snapshot	empty	empty.scope	r1	authority.a	r1	not_resolved_no_match_in_snapshot	0	0	false
duplicate_target	duplicates	duplicate.scope	r1	authority.a	r1	not_resolved_multiple_matches_in_snapshot	2	3	false
unique_beside_duplicate	duplicates	duplicate.scope	r1	authority.b	r1	resolved_one_match_in_snapshot	1	3	true
triple_target	triple	triple.scope	r1	authority.a	r1	not_resolved_multiple_matches_in_snapshot	3	3	false
forward_duplicate	order_forward	order.scope	r1	authority.a	r1	not_resolved_multiple_matches_in_snapshot	2	3	false
reverse_duplicate	order_reverse	order.scope	r1	authority.a	r1	not_resolved_multiple_matches_in_snapshot	2	3	false
forward_unique	order_forward	order.scope	r1	authority.b	r1	resolved_one_match_in_snapshot	1	3	true
reverse_unique	order_reverse	order.scope	r1	authority.b	r1	resolved_one_match_in_snapshot	1	3	true
shared_scope_one	scope_one	scope.one	r1	authority.shared	r1	resolved_one_match_in_snapshot	1	1	true
shared_scope_two	scope_two	scope.two	r1	authority.shared	r1	resolved_one_match_in_snapshot	1	1	true
revision_one	revisions	revision.scope	r1	authority.same	r1	resolved_one_match_in_snapshot	1	2	true
revision_two	revisions	revision.scope	r1	authority.same	r2	resolved_one_match_in_snapshot	1	2	true
revision_missing	revisions	revision.scope	r1	authority.same	r3	not_resolved_no_match_in_snapshot	0	2	false
query_catalog_mismatch	unique	other.scope	r1	authority.a	r1	match_scope_mismatch	not_applicable	not_applicable	not_applicable
query_revision_mismatch	unique	catalog.scope	r9	authority.a	r1	match_scope_mismatch	not_applicable	not_applicable	not_applicable
