snapshot_id	catalog_id	catalog_revision	expect
unique	catalog.scope	r1	valid_snapshot
empty	empty.scope	r1	valid_snapshot
duplicates	duplicate.scope	r1	valid_snapshot
triple	triple.scope	r1	valid_snapshot
order_forward	order.scope	r1	valid_snapshot
order_reverse	order.scope	r1	valid_snapshot
scope_one	scope.one	r1	valid_snapshot
scope_two	scope.two	r1	valid_snapshot
revisions	revision.scope	r1	valid_snapshot
record_scope_mismatch	mismatch.scope	r1	record_scope_mismatch
invalid_record	invalid.scope	r1	invalid_record
