case_id	snapshot_id	resolved_authority_id	resolved_authority_revision	registration_id	expect	positive_witness
exact_match	unique	authority.a	r1	exact_a	exact_authority_binding_match	true
subject_capability_independent	unique	authority.a	r1	exact_a_other_payload	exact_authority_binding_match	true
authority_id_mismatch	unique	authority.a	r1	authority_id_mismatch	no_exact_authority_binding_match	false
authority_revision_mismatch	unique	authority.a	r1	authority_revision_mismatch	no_exact_authority_binding_match	false
hierarchy_like_mismatch	unique	authority.a	r1	hierarchy_like_mismatch	no_exact_authority_binding_match	false
catalog_id_mismatch	unique	authority.a	r1	catalog_id_mismatch	catalog_scope_mismatch	not_applicable
catalog_revision_mismatch	unique	authority.a	r1	catalog_revision_mismatch	catalog_scope_mismatch	not_applicable
unique_beside_duplicates	duplicates	authority.b	r1	duplicate_b	exact_authority_binding_match	true
multiple_authority_not_resolved	duplicates	authority.a	r1	not_applicable	authority_not_resolved	not_applicable
forward_order	order_forward	authority.b	r1	order_b	exact_authority_binding_match	true
reverse_order	order_reverse	authority.b	r1	order_b	exact_authority_binding_match	true
scope_one	scope_one	authority.shared	r1	scope_one_shared	exact_authority_binding_match	true
scope_two	scope_two	authority.shared	r1	scope_two_shared	exact_authority_binding_match	true
unresolved_authority	unique	authority.missing	r1	not_applicable	authority_not_resolved	not_applicable
